iter	Passed	Remaining
1625	110344	25380
1626	110409	25312
1627	110478	25244
1628	110545	25176
1629	110615	25108
1630	110682	25040
1631	110753	24973
1632	110819	24905
1633	110891	24838
1634	110963	24771
1635	111030	24703
1636	111099	24636
1637	111166	24567
1638	111236	24500
1639	111305	24432
1640	111375	24365
1641	111445	24298
1642	111512	24230
1643	111578	24161
1644	111650	24094
1645	111722	24027
1646	111789	23959
1647	111851	23890
1648	111923	23823
1649	111992	23755
1650	112062	23688
1651	112133	23621
1652	112201	23553
1653	112276	23487
1654	112349	23420
1655	112416	23352
1656	112483	23284
1657	112554	23216
1658	112619	23148
1659	112696	23082
1660	112776	23016
